concert_id,leadership_name,leadership_prefix,leadership_roles,is_staff,is_board
4501,Sharon Lee,,Board chair,,TRUE
4501,Jeff Oliveira,,Board vice chair,,TRUE
4501,Ross Weber,,Board secretary;Board treasurer,,TRUE
4501,Emily Braman,,,,TRUE
4501,Kath Garavan-Luchetta,,,,TRUE
4501,Erin Marshall,,,,TRUE
4501,Mark Sherkow,,,,TRUE
4501,Joe Lusignan,,WCGC president,,TRUE
4501,Nora Sapieka,,WCTQ president,,TRUE
4501,Brian Smith,,WCGC vice president,,
4501,Dominic Scialabba,,WCGC secretary,,
4501,Alyce Meyer,,WCTQ vice president,,
4501,Ash Pagano,,WCTQ secretary,,
4501,Christopher Owen,Dr.,Artistic director,TRUE,
4501,Lígia Pucci,,Associate artistic director,TRUE,
4501,Giles Lemmens,,Executive director,TRUE,
4501,Neal Davis-Ruperto,,Accompanists,TRUE,
4501,Talar Khosdeghian,,Accompanists,TRUE,
4501,Mackenzie Schleyer,,Artwork,TRUE,
4501,DePaul University,,Box office,TRUE,
4501,Havalah Teaman,,ASL interpreter,TRUE,
4501,Caden Marshall,,ASL interpreter,TRUE,
